Submission ID,Authors,Title,Decision,Archival
40,Xiangwen Deng; Shenao Jiang; Yufeng Wang; FEICE HUANG; Jiawei Zhou; Peng Jiao; Yong Ge; Haoqian Wang,MMA-RAG: A Novel Modular RAG Framework With LLM-based Multi-agents Reinforcement Learning,Poster,No
61,Jeonghun Kang; Soonmok Kwon; Joonseok Lee; Byung-Hak Kim,DIAMOND: An LLM-Driven Agent for Context-Aware Baseball Highlight Summarization,Poster,Yes
59,Amirhossein Abaskohi; Amrutha Varshini Ramesh; Shailesh Nanisetty; Chirag Goel; David Vazquez; Christopher Pal; Spandana Gella; Giuseppe Carenini; Issam H. Laradji,AgentAda: Skill-Adaptive Data Analytics for Tailored Insight Discovery,Oral,No
55,R. Patrick Xian; Qiming Cui; Stefan Bauer; Reza Abbasi-Asl,Measuring temporal effects of agent knowledge by date-controlled tool use,Poster,Yes
73,Meiru Zhang; Auss Abbood; Zaiqiao Meng; Nigel Collier,The Power of Simplicity in LLM-Based Event Forecasting,Poster,Yes
10,Yunnan Wu; Qile P. Chen; Deshank Baranwal; Jinlong Zhou; Jian Yuan,The Art of Tool Interface Design,Poster,Yes
71,Matthew Li; Santiago Torres-Garcia; Shayan Halder; Phani Kuppa; Sean O'Brien; Vasu Sharma; Kevin Zhu; Sunishchal Dev,FrontierScience Bench: Evaluating AI Research Capabilities in LLMs,Poster,Yes
7,Xunjian Yin; Xinyi Wang; Liangming Pan; Li Lin; Xiaojun Wan; William Yang Wang,Gödel Agent: A Self-Referential Agent Framework for Recursively Self-Improvement,Poster,No
63,Lajanugen Logeswaran; Jaekyeom Kim; Sungryull Sohn; Creighton Glasscock; Honglak Lee,Scaling Web Agent Training through Automatic Data Generation and Fine-grained Evaluation,Poster,No
57,Hiroaki Sugiyama; Ko Koga; Toshifumi Nishijima,VisTRA: Visual Tool-use Reasoning Analyzer for Small Object Visual Question Answering,Poster,Yes
